date,open,high,low,close,volume_usd,open_basis,close_basis,open_change,close_change,taker_buy_vol,taker_sell_vol,cum_vol_delta,agg_taker_buy_vol,agg_taker_sell_vol,cvd,funding_rate,global_account_long_percent,global_account_short_percent,global_account_long_short_ratio,long_liquidation_usd,short_liquidation_usd,net_long_change,net_short_change,net_long_change_cum,net_short_change_cum,net_position_change_cum,oi_aggregated_history,oi_stablecoin_margin,open_interest,bids_usd,bids_quantity,asks_usd,asks_quantity,taker_buy_volume_usd,taker_sell_volume_usd,top_account_long_percent,top_account_short_percent,top_account_long_short_ratio,top_position_long_percent,top_position_short_percent,top_position_long_short_ratio,whale_index_value,regime_wf
2024-04-26 04:00:00+00:00,64359.6,64373.5,64138.0,64187.0,317428957.0156,0.0336,0.0372,21.65,23.85,149998558.4905,167430398.5251,-6661868687.1828,321723988.4151,362545176.1911,-13820611269.9958,0.006848,63.59,36.41,1.75,274918.36797,2572.624,0.0,138.71,-12732.79,-942.56,-11790.23,31330955560.0,145958.49,4313948814.0,112390754.2269,1754.757,111600434.9702,1726.066,149998558.4905,167430398.5251,63.28,36.72,1.72,54.98,45.02,1.22,-56.485,2
2024-04-26 05:00:00+00:00,64187.1,64548.8,63992.6,64527.1,431942140.8025,0.037,0.0417,23.74,26.89,240424598.8314,191517541.9711,-6612961630.3225,567358532.9401,508513178.5609,-13761765915.6166,0.00732,63.14,36.86,1.71,13714.7599,43002.82165,0.0,-255.63,-12732.79,-1198.19,-11534.6,31303851643.0,147044.59,4320304995.0,107656344.7537,1685.543,88898866.9541,1379.389,240424598.8314,191517541.9711,62.66,37.34,1.68,55.08,44.92,1.23,-51.645,2
2024-04-26 06:00:00+00:00,64527.1,64548.9,64216.0,64338.2,258178776.8996,0.0417,0.0612,26.89,39.37,109334184.1541,148844592.7455,-6652472038.9139,246869150.5551,335147512.4378,-13850044277.4993,0.004013,63.52,36.48,1.74,33862.8004,1226.0027,0.0,52.75,-12732.79,-1145.44,-11587.35,31237999419.0,147088.58,4311761613.0,80287112.6058,1249.551,101720647.5475,1570.093,109334184.1541,148844592.7455,62.91,37.09,1.7,55.15,44.85,1.23,-53.735,2
2024-04-26 07:00:00+00:00,64338.2,64590.3,64200.0,64236.6,428206276.6974,0.0612,0.0628,39.36,40.35,196654924.1693,231551352.5281,-6687368467.2727,530797877.759,499518340.6723,-13818764740.4126,0.000785,63.31,36.69,1.73,114870.7397,39905.15095,-353.15,0.0,-13085.94,-1145.44,-11940.5,30756786669.0,145555.85,4281557924.0,93771127.6182,1464.083,88486607.1462,1369.819,196654924.1693,231551352.5281,62.77,37.23,1.69,54.97,45.03,1.22,-53.35,2
2024-04-26 08:00:00+00:00,64236.7,64439.2,64190.1,64385.0,282956643.9535,0.0626,0.0427,40.24,27.5,150424073.4924,132532570.4611,-6669476964.2414,335768180.8516,312944834.7846,-13795941394.3456,0.000297,63.53,36.47,1.74,21313.57659,12675.7435,0.0,-70.53,-13085.94,-1215.97,-11869.97,30742087690.0,145341.58,4286748863.0,130437645.6424,2041.928,90791015.0322,1407.305,150424073.4924,132532570.4611,62.95,37.05,1.7,54.83,45.17,1.21,-55.715,2
2024-04-26 09:00:00+00:00,64384.9,64544.8,64294.2,64454.1,285353800.1235,0.0429,0.0324,27.6,20.89,141494820.1905,143858979.933,-6671841123.9839,326789332.1519,314615141.4159,-13783767203.6096,0.000468,63.81,36.19,1.76,10564.8058,35986.5165,344.15,0.0,-12741.79,-1215.97,-11525.82,30795321407.0,145761.77,4310076963.0,130437645.6424,2041.928,90791015.0322,1407.305,141494820.1905,143858979.933,63.24,36.76,1.72,54.88,45.12,1.22,-57.805,2
2024-04-26 10:00:00+00:00,64454.1,64534.6,64031.5,64069.1,446607251.7627,0.0324,0.0482,20.89,30.91,215007465.8682,231599785.8945,-6688433444.0102,483216998.8555,594401097.8576,-13894951302.6117,0.000948,63.69,36.31,1.75,164397.90616,257.746,0.0,48.32,-12741.79,-1167.65,-11574.14,30722530945.0,146195.29,4291020220.0,115912668.8603,1807.626,111219566.2787,1718.888,215007465.8682,231599785.8945,63.12,36.88,1.71,54.87,45.13,1.22,-56.815,2
2024-04-26 11:00:00+00:00,64069.0,64246.1,64035.0,64213.6,271687053.7393,0.0484,0.0474,31.01,30.42,141615807.3811,130071246.3582,-6676888882.9873,305473214.4579,287487141.2306,-13876965229.3844,0.002507,63.83,36.17,1.77,0.0,513.7448,0.0,-7.28,-12741.79,-1174.93,-11566.86,30854128648.0,146539.83,4300230358.0,138745338.7435,2175.899,90463016.5175,1405.165,141615807.3811,130071246.3582,63.19,36.81,1.72,55.12,44.88,1.23,-56.43,2
2024-04-26 12:00:00+00:00,64213.6,64500.0,63911.2,64114.5,779920181.9074,0.0474,0.0441,30.43,28.29,381874695.358,398045486.5494,-6693059674.1787,855250568.2844,895128866.7409,-13916843527.8409,0.003236,64.07,35.93,1.78,174257.92188,102873.2433,0.0,135.59,-12741.79,-1039.34,-11702.45,30936125424.0,146770.54,4300971996.0,126236051.2069,1977.371,92274067.374,1431.003,381874695.358,398045486.5494,63.31,36.69,1.73,55.18,44.82,1.23,-57.585,2
2024-04-26 13:00:00+00:00,64114.5,64566.1,63650.0,64465.4,1509702674.0408,0.0441,0.0537,28.28,34.61,779168699.7705,730533974.2703,-6644424948.6785,1728033763.1389,1595068443.1005,-13783878207.8025,0.004105,64.19,35.81,1.79,197207.43416,924803.23749,0.0,-202.57,-12741.79,-1241.91,-11499.88,30916557742.0,146770.47,4316341161.0,156360053.0281,2450.998,103175974.7068,1602.073,779168699.7705,730533974.2703,63.45,36.55,1.74,55.29,44.71,1.24,-58.025,2
